time,v_bus_D,v_bus_Q
0.0,1.0223925981510487,-0.04312999867343168
0.004008016032064128,1.0223925981510487,-0.04312999867343168
0.008016032064128256,1.0223925981510487,-0.04312999867343168
0.012024048096192383,1.0223925981510487,-0.04312999867343168
0.01603206412825651,1.0223925981510487,-0.04312999867343168
0.02004008016032064,1.0223925981510487,-0.04312999867343168
0.024048096192384766,1.0223925981510487,-0.04312999867343168
0.028056112224448895,1.0223925981510487,-0.04312999867343168
0.03206412825651302,1.0223925981510487,-0.04312999867343168
0.03607214428857715,1.0223925981510487,-0.04312999867343168
0.04008016032064128,1.0223925981510487,-0.04312999867343168
0.044088176352705406,1.0223925981510487,-0.04312999867343168
0.04809619238476953,1.0223925981510487,-0.04312999867343168
0.052104208416833664,1.0223925981510487,-0.04312999867343168
0.05611222444889779,1.0223925981510487,-0.04312999867343168
0.06012024048096192,1.0223925981510487,-0.04312999867343168
0.06412825651302605,1.0223925981510487,-0.04312999867343168
0.06813627254509018,1.0223925981510487,-0.04312999867343168
0.0721442885771543,1.0223925981510487,-0.04312999867343168
0.07615230460921843,1.0223925981510487,-0.04312999867343168
0.08016032064128256,1.0223925981510487,-0.04312999867343168
0.08416833667334668,1.0223925981510487,-0.04312999867343168
0.08817635270541081,1.0223925981510487,-0.04312999867343168
0.09218436873747494,1.0223925981510487,-0.04312999867343168
0.09619238476953906,1.0223925981510487,-0.04312999867343168
0.1002004008016032,1.0223925981510487,-0.04312999867343168
0.10420841683366733,1.0223925981510487,-0.04312999867343168
0.10821643286573146,1.0223925981510487,-0.04312999867343168
0.11222444889779558,1.0223925981510487,-0.04312999867343168
0.11623246492985971,1.0223925981510487,-0.04312999867343168
0.12024048096192384,1.0223925981510487,-0.04312999867343168
0.12424849699398796,1.0223925981510487,-0.04312999867343168
0.1282565130260521,1.0223925981510487,-0.04312999867343168
0.13226452905811623,1.0223925981510487,-0.04312999867343168
0.13627254509018036,1.0223925981510487,-0.04312999867343168
0.1402805611222445,1.0223925981510487,-0.04312999867343168
0.1442885771543086,1.0223925981510487,-0.04312999867343168
0.14829659318637273,1.0223925981510487,-0.04312999867343168
0.15230460921843686,1.0223925981510487,-0.04312999867343168
0.156312625250501,1.0223925981510487,-0.04312999867343168
0.16032064128256512,1.0223925981510487,-0.04312999867343168
0.16432865731462926,1.0223925981510487,-0.04312999867343168
0.16833667334669336,1.0223925981510487,-0.04312999867343168
0.1723446893787575,1.0223925981510487,-0.04312999867343168
0.17635270541082163,1.0223925981510487,-0.04312999867343168
0.18036072144288576,1.0223925981510487,-0.04312999867343168
0.1843687374749499,1.0223925981510487,-0.04312999867343168
0.18837675350701402,1.0223925981510487,-0.04312999867343168
0.19238476953907813,1.0223925981510487,-0.04312999867343168
0.19639278557114226,1.0223925981510487,-0.04312999867343168
0.2004008016032064,1.0223925981510487,-0.04312999867343168
0.20440881763527052,1.0223925981510487,-0.04312999867343168
0.20841683366733466,1.0223925981510487,-0.04312999867343168
0.2124248496993988,1.0223925981510487,-0.04312999867343168
0.21643286573146292,1.0223925981510487,-0.04312999867343168
0.22044088176352702,1.0223925981510487,-0.04312999867343168
0.22444889779559116,1.0223925981510487,-0.04312999867343168
0.2284569138276553,1.0223925981510487,-0.04312999867343168
0.23246492985971942,1.0223925981510487,-0.04312999867343168
0.23647294589178355,1.0223925981510487,-0.04312999867343168
0.24048096192384769,1.0223925981510487,-0.04312999867343168
0.2444889779559118,1.0223925981510487,-0.04312999867343168
0.24849699398797592,1.0223925981510487,-0.04312999867343168
0.25250501002004005,1.0223925981510487,-0.04312999867343168
0.2565130260521042,1.0223925981510487,-0.04312999867343168
0.2605210420841683,1.0223925981510487,-0.04312999867343168
0.26452905811623245,1.0223925981510487,-0.04312999867343168
0.2685370741482966,1.0223925981510487,-0.04312999867343168
0.2725450901803607,1.0223925981510487,-0.04312999867343168
0.27655310621242485,1.0223925981510487,-0.04312999867343168
0.280561122244489,1.0223925981510487,-0.04312999867343168
0.28456913827655306,1.0223925981510487,-0.04312999867343168
0.2885771543086172,1.0223925981510487,-0.04312999867343168
