Index,"('infinite_sources_0', 'v_ref_d')","('infinite_sources_0', 'v_ref_q')","('gfmi_c_0', 'p_ref')","('gfmi_c_0', 'q_ref')","('gfmi_c_0', 'v_ref')"
"('infinite_sources_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0
"('infinite_sources_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0
"('gfmi_c_0', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_0', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0
"('shunt_parallel_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_D')",0.0,0.0,0.0,0.0,0.0
"('branch_series_rl_0', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0
